NOTICE:  Player ID: 327, Name: Pascale Lambert, Total Points: 28
NOTICE:  Player ID: 23, Name: Nita Wolfe, Total Points: 14
NOTICE:  Player ID: 148, Name: Shad Powers, Total Points: 11
NOTICE:  Player ID: 198, Name: John Hopkins, Total Points: 29
NOTICE:  Player ID: 385, Name: David Dunlap, Total Points: 21
NOTICE:  Player ID: 464, Name: Hector Ayala, Total Points: 10
NOTICE:  Player ID: 398, Name: Debra Gibson, Total Points: 9
NOTICE:  Player ID: 493, Name: Charles Banks, Total Points: 3
NOTICE:  Player ID: 208, Name: Sean Myers, Total Points: 7
NOTICE:  Player ID: 323, Name: Kevin Leon, Total Points: 12
NOTICE:  Player ID: 297, Name: Cameron Odom, Total Points: 28
NOTICE:  Player ID: 421, Name: Kylee Ewing, Total Points: 4
NOTICE:  Player ID: 282, Name: Brandon Reed, Total Points: 10
NOTICE:  Player ID: 256, Name: Jakeem Carlson, Total Points: 7
NOTICE:  Player ID: 366, Name: Shawn Hall, Total Points: 22
NOTICE:  Player ID: 324, Name: Zoe Key, Total Points: 10
NOTICE:  Player ID: 358, Name: Jennifer Davis, Total Points: 15
NOTICE:  Player ID: 165, Name: Michael Pugh, Total Points: 9
NOTICE:  Player ID: 221, Name: Danielle Reynolds, Total Points: 12
NOTICE:  Player ID: 358, Name: Aiko Salas, Total Points: 4
NOTICE:  Player ID: 144, Name: Annette Branch, Total Points: 13
NOTICE:  Player ID: 157, Name: Ori Gibbs, Total Points: 11
NOTICE:  Player ID: 164, Name: Kristen Hayes, Total Points: 3
NOTICE:  Player ID: 382, Name: Mason Rosa, Total Points: 4
NOTICE:  Player ID: 285, Name: Brett Garrett, Total Points: 13
NOTICE:  Player ID: 145, Name: Vivian Burt, Total Points: 19
NOTICE:  Player ID: 220, Name: Kibo Garza, Total Points: 9
NOTICE:  Player ID: 85, Name: Kai Warren, Total Points: 8
NOTICE:  Player ID: 105, Name: Delilah Wells, Total Points: 1
NOTICE:  Player ID: 223, Name: Brittany Price, Total Points: 19
NOTICE:  Player ID: 294, Name: Morgan Malone, Total Points: 5
NOTICE:  Player ID: 250, Name: Jasper Mathews, Total Points: 17
NOTICE:  Player ID: 358, Name: Jennifer Davis, Total Points: 4
NOTICE:  Player ID: 336, Name: Charles Beasley, Total Points: 3
NOTICE:  Player ID: 90, Name: Sean Powers, Total Points: 14
NOTICE:  Player ID: 152, Name: Risa Klein, Total Points: 20
NOTICE:  Player ID: 82, Name: Victoria Long, Total Points: 11
NOTICE:  Player ID: 81, Name: Desiree Bailey, Total Points: 3
NOTICE:  Player ID: 288, Name: Brittney Stone, Total Points: 10
NOTICE:  Player ID: 282, Name: Nicole Turner, Total Points: 10
NOTICE:  Player ID: 197, Name: Emily Taylor, Total Points: 6
NOTICE:  Player ID: 141, Name: Jonah Greene, Total Points: 26
NOTICE:  Player ID: 91, Name: John Williams, Total Points: 5
NOTICE:  Player ID: 265, Name: Lacey Dotson, Total Points: 30
NOTICE:  Player ID: 250, Name: Jasper Mathews, Total Points: 0
NOTICE:  Player ID: 32, Name: Adam Pierce, Total Points: 10
NOTICE:  Player ID: 242, Name: Robert Larsen, Total Points: 16
NOTICE:  Player ID: 112, Name: Xandra Blackwell, Total Points: 21
NOTICE:  Player ID: 266, Name: Alma Acosta, Total Points: 5
NOTICE:  Player ID: 43, Name: Pamela Anderson, Total Points: 8
NOTICE:  Player ID: 179, Name: Vernon Holden, Total Points: 3
NOTICE:  Player ID: 371, Name: Steven Phelps, Total Points: 1
NOTICE:  Player ID: 137, Name: Alan Gibson, Total Points: 5
NOTICE:  Player ID: 63, Name: Germane Turner, Total Points: 7
NOTICE:  Player ID: 128, Name: Steven Oconnor, Total Points: 10
NOTICE:  Player ID: 353, Name: Gavin Best, Total Points: 11
NOTICE:  Player ID: 267, Name: Courtney Brooks, Total Points: 20
NOTICE:  Player ID: 241, Name: Francis Hutchinson, Total Points: 23
NOTICE:  Player ID: 255, Name: Michelle Bishop, Total Points: 19
NOTICE:  Player ID: 239, Name: Michelle Crane, Total Points: 12
NOTICE:  Player ID: 91, Name: John Williams, Total Points: 17
NOTICE:  Player ID: 354, Name: Stephanie Smith, Total Points: 5
NOTICE:  Player ID: 160, Name: Vincent Mccann, Total Points: 10
NOTICE:  Player ID: 294, Name: Kiara Mullins, Total Points: 0
NOTICE:  Player ID: 126, Name: Andrea Harding, Total Points: 6
NOTICE:  Player ID: 312, Name: Michael Vega, Total Points: 12
NOTICE:  Player ID: 138, Name: Shellie Long, Total Points: 29
NOTICE:  Player ID: 189, Name: Tanya Carter, Total Points: 19
NOTICE:  Player ID: 211, Name: Darren Shepard, Total Points: 7
NOTICE:  Player ID: 179, Name: Gavin Adams, Total Points: 9
NOTICE:  Player ID: 335, Name: Ira Carpenter, Total Points: 8
NOTICE:  Player ID: 333, Name: Jared Allen, Total Points: 27
NOTICE:  Player ID: 304, Name: Kimberly Vaughn, Total Points: 3
NOTICE:  Player ID: 254, Name: Jason Rojas, Total Points: 8
NOTICE:  Player ID: 332, Name: Caleb Joseph, Total Points: 8
NOTICE:  Player ID: 54, Name: Shellie Frazier, Total Points: 22
NOTICE:  Player ID: 338, Name: Thomas Reyes, Total Points: 3
NOTICE:  Player ID: 380, Name: Gavin Best, Total Points: 12
NOTICE:  Player ID: 119, Name: Kyle Ward, Total Points: 6
NOTICE:  Player ID: 61, Name: Danielle Wiley, Total Points: 15
NOTICE:  Player ID: 219, Name: Anita Mullen, Total Points: 23
NOTICE:  Player ID: 391, Name: Madaline Sharpe, Total Points: 12
NOTICE:  Player ID: 365, Name: Jaclyn Moss, Total Points: 1
NOTICE:  Player ID: 392, Name: Bruce Ramirez, Total Points: 11
NOTICE:  Player ID: 331, Name: Armand Delgado, Total Points: 30
NOTICE:  Player ID: 396, Name: Timothy Harrington, Total Points: 5
NOTICE:  Player ID: 321, Name: Amanda Myers, Total Points: 28
NOTICE:  Player ID: 80, Name: Christopher Brandt, Total Points: 3
NOTICE:  Player ID: 337, Name: Michele Smith, Total Points: 9
NOTICE:  Player ID: 112, Name: Xandra Blackwell, Total Points: 3
NOTICE:  Player ID: 37, Name: Robin Thompson, Total Points: 27
NOTICE:  Player ID: 375, Name: Randy Williams, Total Points: 18
NOTICE:  Player ID: 163, Name: Karly Norman, Total Points: 9
NOTICE:  Player ID: 354, Name: Amethyst Hayden, Total Points: 5
NOTICE:  Player ID: 274, Name: Jeffery Jordan, Total Points: 4
NOTICE:  Player ID: 13, Name: Janice Stone, Total Points: 24
NOTICE:  Player ID: 103, Name: Karen Wells, Total Points: 3
NOTICE:  Player ID: 448, Name: Harper Vega, Total Points: 4
NOTICE:  Player ID: 303, Name: Angela Greene, Total Points: 20
NOTICE:  Player ID: 364, Name: Jose Edwards, Total Points: 1
NOTICE:  Player ID: 135, Name: Reece Bell, Total Points: 23
NOTICE:  Player ID: 99, Name: Lareina Jacobs, Total Points: 5
NOTICE:  Player ID: 282, Name: Brandon Reed, Total Points: 5
NOTICE:  Player ID: 110, Name: Joseph Nunez, Total Points: 11
NOTICE:  Player ID: 315, Name: Denton Mckenzie, Total Points: 1
NOTICE:  Player ID: 490, Name: Flynn Dillon, Total Points: 6
NOTICE:  Player ID: 335, Name: Eric Ayala, Total Points: 12
NOTICE:  Player ID: 326, Name: Steel Coleman, Total Points: 6
NOTICE:  Player ID: 413, Name: Jenna Greene, Total Points: 6
NOTICE:  Player ID: 73, Name: Julie Lane, Total Points: 21
NOTICE:  Player ID: 122, Name: Nathan Gutierrez, Total Points: 10
NOTICE:  Player ID: 42, Name: Veronica Daniels, Total Points: 10
NOTICE:  Player ID: 24, Name: Fulton Kelley, Total Points: 23
NOTICE:  Player ID: 331, Name: Matthew Patterson, Total Points: 30
NOTICE:  Player ID: 373, Name: Reuben Berger, Total Points: 24
NOTICE:  Player ID: 326, Name: Steel Coleman, Total Points: 5
NOTICE:  Player ID: 374, Name: Cody Bird, Total Points: 9
NOTICE:  Player ID: 273, Name: Melissa Flynn, Total Points: 11
NOTICE:  Player ID: 381, Name: Hyacinth Barker, Total Points: 10
NOTICE:  Player ID: 262, Name: Derek Brady, Total Points: 6
NOTICE:  Player ID: 313, Name: Evan Wagner, Total Points: 10
NOTICE:  Player ID: 138, Name: Shellie Long, Total Points: 3
NOTICE:  Player ID: 81, Name: Desiree Bailey, Total Points: 17
NOTICE:  Player ID: 105, Name: Robin Hart, Total Points: 20
NOTICE:  Player ID: 236, Name: Rodney Tucker, Total Points: 4
NOTICE:  Player ID: 5, Name: Lysandra Mccormick, Total Points: 22
NOTICE:  Player ID: 474, Name: Connor Mcbride, Total Points: 9
NOTICE:  Player ID: 116, Name: Heather Padilla, Total Points: 13
NOTICE:  Player ID: 114, Name: Sharon Hayden, Total Points: 17
NOTICE:  Player ID: 301, Name: Michael Jordan, Total Points: 10
NOTICE:  Player ID: 248, Name: Omar Weeks, Total Points: 3
NOTICE:  Player ID: 285, Name: Brett Garrett, Total Points: 18
NOTICE:  Player ID: 130, Name: Cairo Merrill, Total Points: 14
NOTICE:  Player ID: 16, Name: Amy Lowe, Total Points: 15
NOTICE:  Player ID: 12, Name: Kimberly Knapp, Total Points: 12
NOTICE:  Player ID: 83, Name: Jessica Walker, Total Points: 18
NOTICE:  Player ID: 301, Name: Thane Snyder, Total Points: 25
NOTICE:  Player ID: 119, Name: Bradley Stafford, Total Points: 6
NOTICE:  Player ID: 213, Name: Adriana Bailey, Total Points: 7
NOTICE:  Player ID: 296, Name: Alyssa Smith, Total Points: 5
NOTICE:  Player ID: 178, Name: Kato Carlson, Total Points: 8
NOTICE:  Player ID: 243, Name: Evangeline Blake, Total Points: 6
NOTICE:  Player ID: 75, Name: Sarah Jones, Total Points: 8
NOTICE:  Player ID: 34, Name: Vincent Miller, Total Points: 1
NOTICE:  Player ID: 364, Name: Ira Peterson, Total Points: 1
NOTICE:  Player ID: 140, Name: Daniel Davis, Total Points: 5
NOTICE:  Player ID: 253, Name: Dolan Hammond, Total Points: 1
NOTICE:  Player ID: 258, Name: Amanda Carlson, Total Points: 16
NOTICE:  Player ID: 52, Name: Erin Wong, Total Points: 8
NOTICE:  Player ID: 317, Name: Graiden Dickerson, Total Points: 18
NOTICE:  Player ID: 301, Name: Michael Jordan, Total Points: 25
NOTICE:  Player ID: 186, Name: Willa Mack, Total Points: 12
NOTICE:  Player ID: 345, Name: Yeo Frost, Total Points: 1
NOTICE:  Player ID: 156, Name: Suzanne Matthews, Total Points: 26
NOTICE:  Player ID: 241, Name: Denise Ortiz, Total Points: 23
NOTICE:  Player ID: 367, Name: Derek Carrillo, Total Points: 9
NOTICE:  Player ID: 370, Name: Tami Clark, Total Points: 10
NOTICE:  Player ID: 270, Name: Shawn Freeman, Total Points: 30
NOTICE:  Player ID: 109, Name: Amanda Calderon, Total Points: 12
NOTICE:  Player ID: 83, Name: Belle Hood, Total Points: 18
NOTICE:  Player ID: 249, Name: Amy Fritz, Total Points: 10
NOTICE:  Player ID: 360, Name: Bell Sawyer, Total Points: 1
NOTICE:  Player ID: 333, Name: Jared Allen, Total Points: 7
NOTICE:  Player ID: 313, Name: Evan Wagner, Total Points: 4
NOTICE:  Player ID: 188, Name: Kelsie Perkins, Total Points: 14
NOTICE:  Player ID: 12, Name: Martha Terry, Total Points: 12
NOTICE:  Player ID: 79, Name: Garth Wooten, Total Points: 2
NOTICE:  Player ID: 409, Name: Travis Conway, Total Points: 10
NOTICE:  Player ID: 31, Name: Mark Kennedy, Total Points: 9
NOTICE:  Player ID: 6, Name: Fallon Fulton, Total Points: 5
NOTICE:  Player ID: 142, Name: Noel Carroll, Total Points: 14
NOTICE:  Player ID: 344, Name: Harry Brock, Total Points: 8
NOTICE:  Player ID: 90, Name: Colin Parks, Total Points: 1
NOTICE:  Player ID: 63, Name: Alicia Rice, Total Points: 9
NOTICE:  Player ID: 30, Name: Dana Williams, Total Points: 5
NOTICE:  Player ID: 360, Name: Stephen Adkins, Total Points: 20
NOTICE:  Player ID: 167, Name: Christopher Montgomery, Total Points: 18
NOTICE:  Player ID: 384, Name: Aladdin Ray, Total Points: 13
NOTICE:  Player ID: 262, Name: Derek Brady, Total Points: 29
NOTICE:  Player ID: 194, Name: Uriah Bryan, Total Points: 13
NOTICE:  Player ID: 440, Name: Clio Simpson, Total Points: 5
NOTICE:  Player ID: 289, Name: Kane Bird, Total Points: 1
NOTICE:  Player ID: 186, Name: Scott Jordan, Total Points: 16
NOTICE:  Player ID: 372, Name: Jocelyn Guy, Total Points: 23
NOTICE:  Player ID: 210, Name: Dan Perry, Total Points: 8
NOTICE:  Player ID: 339, Name: Damon Preston, Total Points: 29
NOTICE:  Player ID: 206, Name: Daniel Garcia, Total Points: 7
NOTICE:  Player ID: 170, Name: Jodi Stewart, Total Points: 2
NOTICE:  Player ID: 138, Name: Amanda Mitchell, Total Points: 29
NOTICE:  Player ID: 176, Name: Michelle Smith, Total Points: 28
NOTICE:  Player ID: 33, Name: Iliana Strickland, Total Points: 0
NOTICE:  Player ID: 48, Name: Gregory Chase, Total Points: 12
NOTICE:  Player ID: 305, Name: Jamie Lawson, Total Points: 5
NOTICE:  Player ID: 231, Name: Lisa Mccarthy, Total Points: 29
NOTICE:  Player ID: 144, Name: Shaeleigh Mayer, Total Points: 4
NOTICE:  Player ID: 61, Name: Katherine Pham, Total Points: 1
NOTICE:  Player ID: 326, Name: David Zimmerman, Total Points: 6
NOTICE:  Player ID: 305, Name: Megan Frost, Total Points: 5
NOTICE:  Player ID: 50, Name: Richard Davis, Total Points: 12
NOTICE:  Player ID: 17, Name: Chelsea Lee, Total Points: 2
NOTICE:  Player ID: 190, Name: Tammy Casey, Total Points: 22
NOTICE:  Player ID: 99, Name: Lareina Jacobs, Total Points: 26
NOTICE:  Player ID: 423, Name: Herman Gibbs, Total Points: 5
NOTICE:  Player ID: 173, Name: Christopher Jordan, Total Points: 2
NOTICE:  Player ID: 347, Name: Mark Tran, Total Points: 4
NOTICE:  Player ID: 309, Name: Danielle Jones, Total Points: 24
NOTICE:  Player ID: 71, Name: Mercedes Mcdaniel, Total Points: 4
NOTICE:  Player ID: 229, Name: Maris Herring, Total Points: 5
NOTICE:  Player ID: 180, Name: Trevor Brown, Total Points: 8
NOTICE:  Player ID: 192, Name: Celeste Moss, Total Points: 18
NOTICE:  Player ID: 65, Name: Maria Leach, Total Points: 8
NOTICE:  Player ID: 31, Name: Elliott Saunders, Total Points: 9
NOTICE:  Player ID: 194, Name: Uriah Bryan, Total Points: 2
NOTICE:  Player ID: 394, Name: John Mcknight, Total Points: 3
NOTICE:  Player ID: 111, Name: Morgan Lopez, Total Points: 11
NOTICE:  Player ID: 53, Name: Stephanie Turner, Total Points: 9
NOTICE:  Player ID: 198, Name: John Hopkins, Total Points: 7
NOTICE:  Player ID: 330, Name: Jessica Wilson, Total Points: 12
NOTICE:  Player ID: 152, Name: Risa Klein, Total Points: 12
NOTICE:  Player ID: 98, Name: Angela Vargas, Total Points: 9
NOTICE:  Player ID: 229, Name: Maris Herring, Total Points: 2
NOTICE:  Player ID: 153, Name: Scott Miller, Total Points: 0
NOTICE:  Player ID: 333, Name: Tyler Dixon, Total Points: 27
NOTICE:  Player ID: 40, Name: Curran Roy, Total Points: 16
NOTICE:  Player ID: 51, Name: Gannon Clayton, Total Points: 3
NOTICE:  Player ID: 185, Name: Clayton Gonzales, Total Points: 9
NOTICE:  Player ID: 1, Name: Amanda Erickson, Total Points: 29
NOTICE:  Player ID: 25, Name: Michael Ramos, Total Points: 13
NOTICE:  Player ID: 262, Name: Marvin Wells, Total Points: 6
NOTICE:  Player ID: 274, Name: Adam Rutledge, Total Points: 4
NOTICE:  Player ID: 81, Name: Shad Conway, Total Points: 3
NOTICE:  Player ID: 305, Name: Megan Frost, Total Points: 3
NOTICE:  Player ID: 113, Name: Kevin Stout, Total Points: 11
NOTICE:  Player ID: 176, Name: Ashton Thomas, Total Points: 2
NOTICE:  Player ID: 322, Name: Kyle Kim, Total Points: 10
NOTICE:  Player ID: 315, Name: Bill Brown, Total Points: 30
NOTICE:  Player ID: 98, Name: Maisie Nunez, Total Points: 27
NOTICE:  Player ID: 358, Name: Aiko Salas, Total Points: 15
NOTICE:  Player ID: 163, Name: Tanya Nguyen, Total Points: 9
NOTICE:  Player ID: 438, Name: Nolan Compton, Total Points: 3
NOTICE:  Player ID: 214, Name: Dominique Taylor, Total Points: 11
NOTICE:  Player ID: 133, Name: Velma Atkins, Total Points: 3
NOTICE:  Player ID: 330, Name: Hanna Fernandez, Total Points: 18
NOTICE:  Player ID: 11, Name: Miranda Bonner, Total Points: 12
NOTICE:  Player ID: 310, Name: Valerie Peck, Total Points: 0
NOTICE:  Player ID: 36, Name: Denise Hall, Total Points: 4
NOTICE:  Player ID: 283, Name: Clarence Ward, Total Points: 19
NOTICE:  Player ID: 151, Name: Patricia Ellison, Total Points: 7
NOTICE:  Player ID: 252, Name: Jose Atkins, Total Points: 17
NOTICE:  Player ID: 69, Name: Sean Brown, Total Points: 5
NOTICE:  Player ID: 70, Name: Aquila Patel, Total Points: 6
NOTICE:  Player ID: 266, Name: Tracy Ray, Total Points: 5
NOTICE:  Player ID: 3, Name: Emily Whitney, Total Points: 27
NOTICE:  Player ID: 359, Name: Wade Marsh, Total Points: 2
NOTICE:  Player ID: 202, Name: Leigh Harrison, Total Points: 0
NOTICE:  Player ID: 153, Name: Scott Miller, Total Points: 6
NOTICE:  Player ID: 4, Name: Laura Swanson, Total Points: 0
NOTICE:  Player ID: 189, Name: Barrett Hickman, Total Points: 19
NOTICE:  Player ID: 323, Name: Brian Miller, Total Points: 17
NOTICE:  Player ID: 283, Name: Charissa Vance, Total Points: 19
NOTICE:  Player ID: 319, Name: Naomi Petersen, Total Points: 10
NOTICE:  Player ID: 35, Name: Manuel Brewer, Total Points: 17
NOTICE:  Player ID: 74, Name: Rodney Graves, Total Points: 0
NOTICE:  Player ID: 66, Name: Cherokee Cochran, Total Points: 0
NOTICE:  Player ID: 330, Name: Jessica Wilson, Total Points: 18
NOTICE:  Player ID: 236, Name: Rodney Tucker, Total Points: 9
NOTICE:  Player ID: 171, Name: Christopher Hahn, Total Points: 11
NOTICE:  Player ID: 402, Name: Selma Conrad, Total Points: 4
NOTICE:  Player ID: 11, Name: Robert Harris, Total Points: 12
NOTICE:  Player ID: 343, Name: Bradley Stone, Total Points: 2
NOTICE:  Player ID: 225, Name: Chaney Jacobs, Total Points: 28
NOTICE:  Player ID: 484, Name: Rina Irwin, Total Points: 1
NOTICE:  Player ID: 436, Name: Bernard Baker, Total Points: 3
NOTICE:  Player ID: 150, Name: Francis Howell, Total Points: 8
NOTICE:  Player ID: 353, Name: Jesse Reed, Total Points: 11
NOTICE:  Player ID: 261, Name: Tricia Shelton, Total Points: 20
NOTICE:  Player ID: 357, Name: Nigel Sullivan, Total Points: 24
NOTICE:  Player ID: 248, Name: Amber Sherman, Total Points: 9
NOTICE:  Player ID: 407, Name: Ori Harrison, Total Points: 7
NOTICE:  Player ID: 59, Name: Timothy Gibson, Total Points: 30
NOTICE:  Player ID: 220, Name: Lauren Soto, Total Points: 9
NOTICE:  Player ID: 152, Name: Jason Parrish, Total Points: 20
NOTICE:  Player ID: 326, Name: David Zimmerman, Total Points: 5
NOTICE:  Player ID: 18, Name: Kylan Hahn, Total Points: 9
NOTICE:  Player ID: 6, Name: Fallon Fulton, Total Points: 25
NOTICE:  Player ID: 124, Name: Kenneth Gonzalez, Total Points: 0
NOTICE:  Player ID: 339, Name: Damon Preston, Total Points: 6
NOTICE:  Player ID: 387, Name: Tyler Reyes, Total Points: 27
NOTICE:  Player ID: 294, Name: Kiara Mullins, Total Points: 5
NOTICE:  Player ID: 280, Name: Scott Smith, Total Points: 0
NOTICE:  Player ID: 342, Name: Joseph Miller, Total Points: 7
NOTICE:  Player ID: 446, Name: Joshua Graham, Total Points: 2
NOTICE:  Player ID: 41, Name: Sarah Rogers, Total Points: 10
NOTICE:  Player ID: 53, Name: Stephanie Turner, Total Points: 9
NOTICE:  Player ID: 498, Name: Charissa Wade, Total Points: 2
NOTICE:  Player ID: 258, Name: Melanie Nunez, Total Points: 0
NOTICE:  Player ID: 142, Name: Lisa Adams, Total Points: 14
NOTICE:  Player ID: 159, Name: Patrick Singh, Total Points: 12
NOTICE:  Player ID: 222, Name: Gisela Contreras, Total Points: 12
NOTICE:  Player ID: 184, Name: Derek Smith, Total Points: 17
NOTICE:  Player ID: 46, Name: Bell Tyler, Total Points: 12
NOTICE:  Player ID: 394, Name: Beck Charles, Total Points: 25
NOTICE:  Player ID: 139, Name: Lisa Craig, Total Points: 11
NOTICE:  Player ID: 314, Name: Jarrod Cotton, Total Points: 2
NOTICE:  Player ID: 212, Name: Robin Robles, Total Points: 4
NOTICE:  Player ID: 150, Name: Francis Howell, Total Points: 4
NOTICE:  Player ID: 27, Name: Sarah Horton, Total Points: 19
NOTICE:  Player ID: 194, Name: Stephanie Murray, Total Points: 13
NOTICE:  Player ID: 159, Name: Patrick Singh, Total Points: 12
NOTICE:  Player ID: 163, Name: Karly Norman, Total Points: 25
NOTICE:  Player ID: 233, Name: Lawrence Allen, Total Points: 30
NOTICE:  Player ID: 247, Name: Joseph Daniels, Total Points: 10
NOTICE:  Player ID: 202, Name: Leigh Harrison, Total Points: 10
NOTICE:  Player ID: 55, Name: Beau Spears, Total Points: 11
NOTICE:  Player ID: 254, Name: Tobias Sloan, Total Points: 1
NOTICE:  Player ID: 179, Name: Gavin Adams, Total Points: 3
NOTICE:  Player ID: 332, Name: Davis Cantu, Total Points: 11
NOTICE:  Player ID: 385, Name: David Dunlap, Total Points: 2
NOTICE:  Player ID: 213, Name: Jada Reed, Total Points: 7
NOTICE:  Player ID: 2, Name: Chase Britt, Total Points: 2
NOTICE:  Player ID: 334, Name: Avram Neal, Total Points: 18
NOTICE:  Player ID: 165, Name: Clark Michael, Total Points: 5
NOTICE:  Player ID: 430, Name: Troy Ball, Total Points: 2
NOTICE:  Player ID: 270, Name: Flynn Lancaster, Total Points: 30
NOTICE:  Player ID: 46, Name: Jennifer Smith, Total Points: 21
NOTICE:  Player ID: 207, Name: Logan Robbins, Total Points: 11
NOTICE:  Player ID: 392, Name: Chelsea Ochoa, Total Points: 11
NOTICE:  Player ID: 210, Name: Kuame Lucas, Total Points: 9
NOTICE:  Player ID: 186, Name: Willa Mack, Total Points: 16
NOTICE:  Player ID: 185, Name: Martin Oliver, Total Points: 22
NOTICE:  Player ID: 357, Name: Nigel Sullivan, Total Points: 11
NOTICE:  Player ID: 332, Name: Davis Cantu, Total Points: 8
NOTICE:  Player ID: 171, Name: Christopher Hahn, Total Points: 10
NOTICE:  Player ID: 12, Name: Kimberly Knapp, Total Points: 12
NOTICE:  Player ID: 287, Name: Aaron Woods, Total Points: 2
NOTICE:  Player ID: 123, Name: Joyce Smith, Total Points: 17
NOTICE:  Player ID: 310, Name: Valerie Peck, Total Points: 6
NOTICE:  Player ID: 202, Name: Jacqueline Burnett, Total Points: 0
NOTICE:  Player ID: 331, Name: Matthew Patterson, Total Points: 10
NOTICE:  Player ID: 441, Name: Cameron Lindsey, Total Points: 10
NOTICE:  Player ID: 211, Name: Petra Barnes, Total Points: 11
NOTICE:  Player ID: 105, Name: Robin Hart, Total Points: 1
NOTICE:  Player ID: 43, Name: Callum Lambert, Total Points: 9
NOTICE:  Player ID: 349, Name: Jodi Sanchez, Total Points: 4
NOTICE:  Player ID: 361, Name: William Walsh, Total Points: 2
NOTICE:  Player ID: 312, Name: Amethyst Bishop, Total Points: 11
NOTICE:  Player ID: 354, Name: Amethyst Hayden, Total Points: 15
NOTICE:  Player ID: 118, Name: Eagan Knight, Total Points: 9
NOTICE:  Player ID: 171, Name: Candice Nicholson, Total Points: 10
NOTICE:  Player ID: 170, Name: Herman Riggs, Total Points: 5
NOTICE:  Player ID: 264, Name: Axel Banks, Total Points: 3
NOTICE:  Player ID: 79, Name: Molly Knox, Total Points: 2
NOTICE:  Player ID: 141, Name: John Harvey, Total Points: 8
NOTICE:  Player ID: 456, Name: Cailin Hill, Total Points: 5
NOTICE:  Player ID: 108, Name: Sandra Boone, Total Points: 26
NOTICE:  Player ID: 496, Name: Joel Pruitt, Total Points: 7
NOTICE:  Player ID: 171, Name: Candice Nicholson, Total Points: 11
NOTICE:  Player ID: 329, Name: Gary Martinez, Total Points: 25
NOTICE:  Player ID: 320, Name: Cyrus Hester, Total Points: 22
NOTICE:  Player ID: 197, Name: Dora Shepherd, Total Points: 4
NOTICE:  Player ID: 348, Name: Griffin May, Total Points: 5
NOTICE:  Player ID: 300, Name: Bert Patrick, Total Points: 9
NOTICE:  Player ID: 55, Name: Beau Spears, Total Points: 21
NOTICE:  Player ID: 146, Name: Brody Dudley, Total Points: 12
NOTICE:  Player ID: 357, Name: Travis Brown, Total Points: 11
NOTICE:  Player ID: 172, Name: Indigo Bailey, Total Points: 7
